example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,T,S
1,339.223,235.058,2124.622,T,S
2,1031.488,1240.485,4656.456,T,S
4,4511.06,1996.695,85835.76,T,T
6,2604.745,3582.286,19521.128,T,T
7,31353.0559999999,14551.126,92787.059,T,S
8,71761.5099999999,29904.735,73341.2480000001,T,T
9,0,0,0,T,S
10,0,0,0,T,S
11,0,0,0,T,S
12,0,0,0,T,S
13,0,0,0,T,S
15,41933.382,22016.983,106741.819,T,V
21,929.646,1648.484,9394.237,T,T
22,4457.379,12555.939,29855.544,T,T
23,4464.553,12713.224,31791.769,T,T
24,834.476,1548,10992.649,T,T
25,6324.213,3055.79,28616.596,T,T
26,6379.235,3316.732,37899.855,T,T
27,13523.936,10268.333,143938.417,T,V
29,891.098,264.805,3255.603,T,S
30,204.458,88.551,1192.616,T,S
31,21133.059,15948.233,31022.156,T,T
32,5095.947,7151.711,89108.5329999999,T,T
34,12299.6760000001,7500.85300000001,147912.839,T,S
35,0,0,0,T,S
36,78.747,3.412,49.517,T,S
38,6464.94599999998,9877.82800000001,147506.979,T,T
39,0,0,0,T,S
40,0,0,0,T,S
42,0,0,0,T,S
43,0,0,0,T,S
46,25216.058,20362.976,126457.661,T,T
47,0,0,0,T,S
48,0,0,0,T,S
49,0,0,0,T,S
50,123.48,187.044,3641.266,T,T
51,690.56,1042.654,4279.42,T,S
52,102.682,2.694,36.724,T,S
53,0,0,0,T,S
55,541.736,170.325,2480.134,T,S
57,469.098,88.797,773.076,T,S
58,8.151,2.096,36.678,T,S
59,0,0,0,T,S
60,0,0,0,T,S
61,288.037,5.892,59.064,T,S
62,113.843,275.156,923.725,T,S
63,0,0,0,T,S
65,0,0,0,T,S
66,767.964,941.629000000001,4774.033,T,S
67,2313.918,1647.584,8390.01599999999,T,S
68,3102.921,2147.091,36221.781,T,T
70,0,0,0,T,S
71,622.327,451.584,11086.041,T,T
72,991.595,1294.189,6021.606,T,S
73,14242.787,6080.153,12788.623,T,S
74,2265.474,1846.866,25160.975,T,T
75,1525.474,3699.55299999998,20800.29,T,T
78,5775.12900000001,7483.825,151899.554,T,V
79,0,0,0,T,S
80,6327.118,8852.56099999999,149761.311000001,T,V
81,724.104999999999,1478.55,5433.928,T,T
82,9073.91300000006,12865.697,142998.706,T,T
83,567.637,280.398,1487.506,T,S
84,2770.115,7291.88799999999,20927.65,T,T
85,3808.61,2990.729,33662.444,T,T
86,9956.21000000004,10744.715,85873.2269999999,T,T
87,0,0,0,T,S
88,9166.70600000001,8012.405,77805.7759999999,T,T
89,0,0,0,T,S
90,0,0,0,T,S
93,2297.629,3255.8,18142.968,T,T
94,1601.928,1901.833,23613.831,T,T
95,0,0,0,T,S
96,6145.38800000004,8863.44100000002,149535.476,T,V
97,776.085999999999,1602.266,6639.86500000001,T,T
98,9094.90099999997,9204.85399999997,151837.007,T,S
99,4163.277,2923.51,46956.918,T,T
100,6327.32600000003,6157.38999999999,152331.523,T,S
101,2229.851,612.206,9500.62500000001,T,T
102,6930.12900000002,9877.26499999999,147364.416,T,S
103,6321.88400000003,9460.01699999997,148818.047,T,T
104,663.010999999999,496.794,10824.616,T,T
105,1846.198,2752.722,14980.058,T,T
106,5028.129,8838.45899999997,150591.069,T,S
107,6326.07,5445.546,155931.796,T,S
108,1922.328,1835.015,83180.9770000001,T,T
109,8127.30900000001,10309.975,145877.488,T,S
112,364.504,1370.644,4769.779,T,T
113,0,0,0,T,S
115,60.156,2.437,33.015,T,S
116,1948.164,1755.582,13794.254,T,T
117,0,0,0,T,S
119,0,0,0,T,S
120,0,0,0,T,S
121,21176.587,14605.411,132718.028,T,V
122,0,0,0,T,S
123,0,0,0,T,S
125,0,0,0,T,S
126,791.918999999999,1783.574,5853.237,T,S
127,404.268,379.164,1563.078,T,S
129,13235.042,9557.90300000002,145558.871,T,T
131,0,0,0,T,S
132,205.059,4.098,48.816,T,S
133,205.076,3.338,47.532,T,S
136,1846.978,1850.332,10820.401,T,T
140,0,0,0,T,S
144,5616.859,2297.592,6418.983,T,S
146,874.22,75.401,5465.2,T,S
147,1807.999,122.941,7242.677,T,S
148,147.35,79.912,2166.657,T,S
149,10.902,2.475,63.619,T,S
150,35.423,2.541,36.205,T,S
151,199.99,94.4600000000001,2307.141,T,S
152,14.095,2.193,37.387,T,S
153,559.103,251.65,3634.573,T,S
154,95.335,128.924,371.172,T,S
155,1639.249,2185.98400000001,39500.297,T,S
156,731.950999999999,671.655,2815.208,T,S
157,256.275,182.098,2173.403,T,S
158,143.913,155.307,2754.766,T,S
160,18.121,2.341,73.271,T,S
161,1762.16,899.403,19090.839,T,S
163,24.853,2.353,122.861,T,S
164,449.953,350.867,2926.033,T,S
165,32.214,2.324,34.42,T,S
166,396.073,196.813,2728.872,T,S
167,76.653,60.693,940.876000000001,T,S
168,120.832,3.221,48.965,T,S
169,652.117000000001,3004.589,6268.207,T,T
170,7933.126,11239.464,145321.554000001,T,T
171,210.432,149.774,852.209,T,S
